Date,Price,Open,High,Low,Vol.,Change %
2023-07-27,28400,28400,28700,28100,21.32M,0.00%
2023-07-28,28300,28400,28600,28150,22.70M,-0.35%
2023-07-31,28200,28200,28250,27350,45.53M,-0.35%
2023-08-01,27500,28100,28100,27500,28.01M,-2.48%
2023-08-02,27500,27400,27850,27250,18.52M,0.00%
2023-08-03,26850,27350,27500,26500,58.03M,-2.36%
2023-08-04,27350,26800,27500,26800,22.17M,1.86%
2023-08-07,27550,27550,27750,27300,23.09M,0.73%
2023-08-08,27200,27600,27900,27150,25.57M,-1.27%
2023-08-09,27800,27200,27850,27050,42.66M,2.21%
2023-08-10,27350,27900,27900,27300,17.06M,-1.62%
2023-08-11,27700,27400,27750,27150,23.38M,1.28%
2023-08-14,28150,27800,28350,27650,44.95M,1.62%
2023-08-15,27950,28150,28250,27850,17.94M,-0.71%
2023-08-16,27950,27950,28000,27650,14.99M,0.00%
2023-08-17,28100,28000,28700,28000,46.60M,0.54%
2023-08-18,26500,27900,28000,26200,41.05M,-5.69%
2023-08-21,26200,26450,26550,25900,31.44M,-1.13%
2023-08-22,26150,26200,26350,25100,35.17M,-0.19%
2023-08-23,25650,26350,26450,25650,21.77M,-1.91%
2023-08-24,26300,25650,26300,25600,16.60M,2.53%
2023-08-25,25950,26200,26400,25950,21.85M,-1.33%
2023-08-28,26850,26000,26850,26000,22.82M,3.47%
2023-08-29,27000,26900,27150,26700,17.97M,0.56%
2023-08-30,27200,27000,27250,26750,20.14M,0.74%
2023-08-31,27600,27400,27900,27300,25.93M,1.47%
2023-09-05,27800,27800,27950,27250,24.50M,0.72%
2023-09-06,29000,27750,29000,27400,52.57M,4.32%
2023-09-07,28650,29000,29300,28500,33.67M,-1.21%
2023-09-08,28750,28500,29150,28400,33.79M,0.35%
2023-09-11,28000,29000,29050,27750,47.70M,-2.61%
2023-09-12,28750,28000,28750,27700,22.62M,2.68%
2023-09-13,28400,28800,29400,28250,49.19M,-1.22%
2023-09-14,27800,28400,28550,27750,34.68M,-2.11%
2023-09-15,27600,27900,28100,27600,24.75M,-0.72%
2023-09-18,27600,27600,28100,27200,20.89M,0.00%
2023-09-19,28150,28000,28150,27500,21.03M,1.99%
2023-09-20,28400,28150,28550,28050,26.60M,0.89%
2023-09-21,28400,28400,29100,28150,42.92M,0.00%
2023-09-22,27300,27750,27950,26750,50.58M,-3.87%
2023-09-25,26000,27000,27500,25700,36.87M,-4.76%
2023-09-26,26200,25850,26800,25850,30.84M,0.77%
2023-09-27,26500,26150,26700,26150,20.33M,1.15%
2023-09-28,26600,26600,26850,26200,16.56M,0.38%
2023-09-29,26300,26800,26850,26250,15.02M,-1.13%
2023-10-02,26200,26300,26450,26000,11.41M,-0.38%
2023-10-03,24800,26100,26100,24700,40.64M,-5.34%
2023-10-04,25250,24500,25500,24000,21.10M,1.81%
2023-10-05,24900,25400,25500,24850,10.42M,-1.39%
2023-10-06,24950,24850,25300,24650,15.25M,0.20%
2023-10-09,25500,24950,25600,24950,11.43M,2.20%
2023-10-10,26000,25700,26250,25600,20.00M,1.96%
2023-10-11,26200,26150,26250,25800,13.50M,0.77%
2023-10-12,25800,26300,26300,25600,22.05M,-1.53%
2023-10-13,25750,25600,25750,25050,19.57M,-0.19%
2023-10-16,25000,25750,25800,25000,16.21M,-2.91%
2023-10-17,24800,25200,25450,24800,14.71M,-0.80%
2023-10-18,24000,24800,24950,23200,30.93M,-3.23%
2023-10-19,23700,24100,24200,23450,20.81M,-1.25%
2023-10-20,24350,23700,24350,23350,16.37M,2.74%
2023-10-23,24000,24350,24350,23700,11.95M,-1.44%
2023-10-24,24000,24050,24400,23650,9.71M,0.00%
2023-10-25,24050,24050,24600,24050,12.06M,0.21%
2023-10-26,22800,23800,23850,22600,31.03M,-5.20%
2023-10-27,23350,23250,23500,22850,15.02M,2.41%
2023-10-30,23000,23350,23750,23000,16.17M,-1.50%
2023-10-31,23000,23500,23500,22900,20.79M,0.00%
2023-11-01,23950,23000,23950,22950,19.14M,4.13%
2023-11-02,25250,24200,25600,24100,26.64M,5.43%
2023-11-03,25100,25400,25500,24750,20.50M,-0.59%
2023-11-06,25750,25350,25900,25200,20.38M,2.59%
2023-11-07,25800,25800,26200,25450,19.86M,0.19%
2023-11-08,26950,25800,26950,25600,34.85M,4.46%
2023-11-09,26700,26950,27400,26600,31.36M,-0.93%
2023-11-10,26500,26400,27100,26350,28.03M,-0.75%
2023-11-13,27200,26500,27600,26500,44.00M,2.64%
2023-11-14,27000,27400,27500,26700,23.26M,-0.74%
2023-11-15,27000,27550,27800,27000,34.62M,0.00%
